Treatment;Time;Species_Tissue;N;mean;sd;se
1;C;7;0然_TR;5;-34.799741882;0.555064393191209;0.248232343013043
2;C;7;0然_TS;5;-36.81419095;0.253829267357394;0.11351589929802
3;C;7;50然_TR;5;-31.400278422;1.0783314103939;0.482244467182795
4;C;7;50然_TS;5;-36.014198402;0.639770066169883;0.286113871585079
5;C;7;500然_TR;5;-21.393018702;4.64392487151203;2.07682633902057
6;C;7;500然_TS;5;-15.985836246;3.39657709004073;1.5189954528299
7;C;10;0然_TR;5;-36.642155016;0.162639832837566;0.0727347444147998
8;C;10;0然_TS;5;-37.867457154;0.297446857806767;0.133022278749929
9;C;10;50然_TR;5;-27.802712008;2.6994042892867;1.20721029791992
10;C;10;50然_TS;5;-37.831677852;0.197570445020141;0.0883561890819838
11;C;10;500然_TR;5;-20.723576284;2.45250324036122;1.09679279209724
12;C;10;500然_TS;5;-28.035380742;2.16308770718477;0.967362230911863
13;C;14;0然_TR;5;-36.084270484;0.386330560555843;0.172772279037693
14;C;14;0然_TS;5;-37.301916666;0.598136205278335;0.267494642961225
15;C;14;50然_TR;5;-34.351662988;0.611162480149078;0.273320170182141
16;C;14;50然_TS;5;-37.263313578;1.07270615183994;0.479728775079264
17;C;14;500然_TR;5;-31.63905815;1.12171303288255;0.501645318554568
18;C;14;500然_TS;5;-31.937719674;2.5596559078847;1.14471292180783
19;C;17;0然_TR;5;-36.982452694;0.365124422636277;0.163288605852015
20;C;17;0然_TS;5;-38.283410414;0.453272633579498;0.202709684204822
21;C;17;50然_TR;5;-31.976509384;0.940041986104766;0.420399556526834
22;C;17;50然_TS;5;-37.695654344;0.763549429410043;0.341469685668407
23;C;17;500然_TR;5;-17.263866434;3.55292848321809;1.58891792153418
24;C;17;500然_TS;5;-33.832681272;2.60031391049978;1.16289573334316
25;Fe;7;0然_TR;5;-35.539787612;0.29571254748514;0.132246671595282
26;Fe;7;0然_TS;5;-36.95920862;0.406199976000992;0.1816581517594
27;Fe;7;50然_TR;5;-32.870992922;1.014140323237;0.453537340296308
28;Fe;7;50然_TS;5;-36.68595983;0.205539351448015;0.0919199923777961
29;Fe;7;500然_TR;5;-24.884075562;4.18866634274345;1.87322853548796
30;Fe;7;500然_TS;5;-22.66500977;3.10731276150617;1.38963251241608
31;Fe;10;0然_TR;5;-36.870520396;0.452062199233075;0.202168361508642
32;Fe;10;0然_TS;5;-37.862982898;0.486747778442614;0.217680224098938
33;Fe;10;50然_TR;5;-33.020838484;1.04502742789345;0.467350473424302
34;Fe;10;50然_TS;5;-37.774206952;0.29347087585564;0.131244165565923
35;Fe;10;500然_TR;5;-22.010859768;3.10766601128572;1.3897904905201
36;Fe;10;500然_TS;5;-34.256761184;1.74415501243266;0.780009834219282
37;Fe;14;0然_TR;5;-37.38374168;0.490260992309174;0.219251381103963
38;Fe;14;0然_TS;5;-37.641552194;0.586280214729221;0.262192482799542
39;Fe;14;50然_TR;5;-35.75421397;0.469910430181249;0.210150333044288
40;Fe;14;50然_TS;5;-37.782421854;0.440524110517635;0.197008371369013
41;Fe;14;500然_TR;5;-33.394786372;1.03182004842779;0.461443953766332
42;Fe;14;500然_TS;5;-32.920965192;1.28746093895867;0.57577003557746
43;Fe;17;0然_TR;5;-37.195904742;0.350984381713185;0.156964987310283
44;Fe;17;0然_TS;5;-37.556748986;0.711863798978815;0.318355169047575
45;Fe;17;50然_TR;5;-34.467745504;1.98649812907913;0.888388970759416
46;Fe;17;50然_TS;5;-37.207629482;0.810177651984688;0.362322460737786
47;Fe;17;500然_TR;5;-22.898534042;3.10862386292872;1.39021885479732
48;Fe;17;500然_TS;5;-30.6622966;3.5330339708871;1.58002082514391
49;P;7;0然_TR;5;-34.408468134;0.412011275601805;0.184257043948407
50;P;7;0然_TS;5;-35.93055507;0.408284920146642;0.182590567127193
51;P;7;50然_TR;5;-27.829557676;1.46395660448108;0.654701296745893
52;P;7;50然_TS;5;-35.401903532;0.56887047958167;0.254406612547504
53;P;7;500然_TR;5;-16.787298782;2.28186045291914;1.02047901757913
54;P;7;500然_TS;5;-29.443941498;2.66623368379108;1.19237595217131
55;P;10;0然_TR;5;-34.449913166;0.385632029393036;0.172459886404805
56;P;10;0然_TS;5;-35.99425396;0.265186830119906;0.11859515577716
57;P;10;50然_TR;5;-28.191183336;0.991917243765;0.443598877022554
58;P;10;50然_TS;5;-35.469793682;0.723245408207632;0.32344517943337
59;P;10;500然_TR;5;-15.563492648;4.22317841892063;1.88866280516332
60;P;10;500然_TS;5;-34.346750208;0.560431557096197;0.25063261168063
61;P;14;0然_TR;5;-33.678373054;0.781626437107091;0.349553969276484
62;P;14;0然_TS;5;-35.282144656;0.634419779580926;0.283721150682677
63;P;14;50然_TR;5;-31.291889368;0.890162312558692;0.39809268837793
64;P;14;50然_TS;5;-35.285770354;0.790898764553422;0.35370068017241
65;P;14;500然_TR;5;-27.94613728;0.795162744268965;0.355607589872138
66;P;14;500然_TS;5;-34.138218438;0.471104908853716;0.21068452014615
67;P;17;0然_TR;5;-33.652387938;0.390398852982054;0.174591674721164
68;P;17;0然_TS;5;-35.157257228;0.654168132888011;0.292552882770342
69;P;17;50然_TR;5;-27.681515298;0.994665124873646;0.444827766813158
70;P;17;50然_TS;5;-34.60466563;0.996812149582725;0.445787945452932
71;P;17;500然_TR;5;-6.9276563554;2.16222223246416;0.966975178850242
72;P;17;500然_TS;5;-32.549066996;1.52549914605694;0.682223958040238
