"Time";"Treatment";"Value"
"120";"C";9.79333861538461
"120";"C";10.5588338461538
"120";"C";11.2273395384615
"120";"C";13.4739015384615
"120";"C";22.479962
"120";"Fe";5.98947746153846
"120";"Fe";8.68409815384615
"120";"Fe";8.94539292307692
"120";"Fe";12.5500364615385
"120";"Fe";12.6950316153846
"120";"P";13.6550225384615
"120";"P";14.3970347692308
"120";"P";14.5838799230769
"120";"P";15.3078763846154
"120";"P";15.7803405384615
"15";"C";11.3862075384615
"15";"C";10.9106814615385
"15";"C";12.3157131538462
"15";"C";10.3078078461538
"15";"C";6.36140315384615
"15";"Fe";5.19141184615385
"15";"Fe";4.90230538461539
"15";"Fe";5.39433292307692
"15";"Fe";5.15231561538462
"15";"P";12.4976286153846
"15";"P";11.4380866153846
"15";"P";9.43621484615385
"15";"P";14.8829698461538
"15";"P";9.92402676923077
"30";"C";17.2301420769231
"30";"C";13.8993209230769
"30";"C";13.847048
"30";"C";11.3392685384615
"30";"C";10.145031
"30";"Fe";7.27573484615385
"30";"Fe";12.4872402307692
"30";"Fe";5.61397646153846
"30";"Fe";6.69314553846154
"30";"Fe";7.10836992307692
"30";"P";11.1680974615385
"30";"P";13.38281
"30";"P";15.848316
"30";"P";9.35872807692308
"30";"P";12.6279422307692
"60";"C";16.0062336923077
"60";"C";16.4613884615385
"60";"C";18.9405568461538
"60";"C";19.3762883076923
"60";"C";17.6834525384615
"60";"Fe";7.21815215384615
"60";"Fe";6.17894630769231
"60";"Fe";7.64294230769231
"60";"Fe";8.78777661538462
"60";"Fe";11.3564536153846
"60";"P";20.1758953076923
"60";"P";16.8778393846154
"60";"P";15.8008308461538
"60";"P";17.0150771538462
"60";"P";18.720117
"15";"C";9.12100002941509
"15";"C";5.1541433320063
"15";"C";6.90380789946073
"15";"C";4.48454835656099
"15";"C";6.85310520755181
"15";"Fe";2.97591317876629
"15";"Fe";4.39144423377323
"15";"Fe";1.35799209492954
"15";"Fe";3.37031169927957
"15";"P";12.8806567944866
"15";"P";14.358226833159
"15";"P";7.65136395250319
"15";"P";11.0044212262806
"15";"P";11.6245015425333
"30";"C";6.71526898849083
"30";"C";8.72665862056316
"30";"C";7.71930371761688
"30";"C";8.16946123585013
"30";"Fe";2.80601586995862
"30";"Fe";4.31204674812784
"30";"Fe";2.81908372817937
"30";"Fe";4.3969031603992
"30";"Fe";4.28595755189172
"30";"P";10.7569487839789
"30";"P";16.7810929943653
"30";"P";6.28973312266059
"30";"P";13.859737886749
"30";"P";10.3235245590028
"60";"C";6.9076459604517
"60";"C";8.30716957874358
"60";"C";9.58109230279053
"60";"C";10.0859680990086
"60";"C";9.28627680259245
"60";"Fe";3.59366528678532
"60";"Fe";3.99669765178099
"60";"Fe";4.26764792286655
"60";"Fe";5.70150653014846
"60";"Fe";6.23937786754989
"60";"P";17.181791213059
"60";"P";14.5718797474734
"60";"P";12.9768226477276
"60";"P";14.2058496485614
"60";"P";13.0473371118666
"120";"C";8.46458937705984
"120";"C";9.59046894055816
"120";"C";7.35711249243345
"120";"C";7.52870748328759
"120";"C";7.17187463581463
"120";"Fe";5.23576217403879
"120";"Fe";3.81799646931751
"120";"Fe";4.06843213688283
"120";"Fe";2.23789534454946
"120";"Fe";3.20779512530866
"120";"P";13.8061303315556
"120";"P";15.32069531486
"120";"P";3.16773600381369
"120";"P";13.5808261442028
"120";"P";12.6943457142685
"15";"C";1.11253021146764
"15";"C";1.23591693691855
"15";"C";1.55374351457806
"15";"C";0.289186735642971
"15";"C";0.743951293524734
"15";"Fe";0.644451808655279
"15";"Fe";1.48615765568436
"15";"Fe";0.0201658628027163
"15";"Fe";1.01143735027702
"15";"P";0
"15";"P";0
"15";"P";0
"15";"P";0.175963632845528
"15";"P";0
"30";"C";0.935722993957911
"30";"C";0.88959844975923
"30";"C";2.92487581430273
"30";"C";1.95248763959672
"30";"Fe";1.06857342142455
"30";"Fe";0.0142690825365214
"30";"Fe";0.329095433576143
"30";"Fe";0.597333704482052
"30";"Fe";1.17525613350277
"30";"P";0
"30";"P";0
"30";"P";0
"30";"P";0
"30";"P";0
"60";"C";0.391452052347779
"60";"C";1.99351314407222
"60";"C";2.12307456118379
"60";"C";1.31493547392819
"60";"C";3.17002945969984
"60";"Fe";0.559832659707466
"60";"Fe";1.18728813797471
"60";"Fe";0.420500901756747
"60";"Fe";1.35719273605606
"60";"Fe";1.64523389036632
"60";"P";0.297710539878886
"60";"P";0.079532397060695
"60";"P";0.0541507493564079
"60";"P";0
"60";"P";0.74628487606292
"120";"C";2.77379357505641
"120";"C";2.89938383811192
"120";"C";2.08970101976379
"120";"C";2.33778218543691
"120";"C";2.20380622972992
"120";"Fe";0.523660645016743
"120";"Fe";0.936911205625337
"120";"Fe";1.92333042924711
"120";"Fe";1.13419280174598
"120";"Fe";1.05132086538408
"120";"P";0.106232355073115
"120";"P";0
"120";"P";0.107871809010935
"120";"P";0.141207200380456
"120";"P";0.721699169143514
"15";"C";1.11253021146764
"15";"C";1.23591693691855
"15";"C";1.55374351457806
"15";"C";0.28470687677613
"15";"C";0.743951293524734
"15";"Fe";0.605422111111073
"15";"Fe";1.48615765568436
"15";"Fe";0
"15";"Fe";1.01143735027702
"15";"P";0
"15";"P";0
"15";"P";0
"15";"P";0.0524529894885115
"15";"P";0
"30";"C";0.935722993957911
"30";"C";0.8843675690201
"30";"C";2.92487581430273
"30";"C";1.95248763959672
"30";"Fe";1.06857342142455
"30";"Fe";0
"30";"Fe";0.318000040696785
"30";"Fe";0.597333704482052
"30";"Fe";1.17525613350277
"30";"P";0
"30";"P";0
"30";"P";0
"30";"P";0
"30";"P";0
"60";"C";0.380141560500525
"60";"C";1.99351314407222
"60";"C";2.12307456118379
"60";"C";1.31493547392819
"60";"C";3.17002945969984
"60";"Fe";0.524616973178583
"60";"Fe";1.18728813797471
"60";"Fe";0.389889395147736
"60";"Fe";1.35719273605606
"60";"Fe";1.64523389036632
"60";"P";0.0783538615642864
"60";"P";0
"60";"P";0
"60";"P";0
"60";"P";0.552398862590427
"120";"C";2.77379357505641
"120";"C";2.89938383811192
"120";"C";2.08970101976379
"120";"C";2.33778218543691
"120";"C";2.20380622972992
"120";"Fe";0.467110181600123
"120";"Fe";0.936911205625337
"120";"Fe";1.92333042924711
"120";"Fe";1.13419280174598
"120";"Fe";1.05132086538408
"120";"P";0.0745029768744055
"120";"P";0
"120";"P";0
"120";"P";0
"120";"P";0.56217443443357
