"Time";"Treatment";"N";"mean";"sd";"se"
"14";"C";5;13.5066751076923;5.20084027835874;2.32588648050581
"14";"Fe";5;9.77280732307692;2.84762548396801;1.27349683132264
"14";"P";5;14.7448308307692;0.825204529120232;0.369042684490709
"15";"C";5;6.50332096499898;1.80490343337549;0.80717735397007
"15";"Fe";4;3.02391530168716;1.26065197139892;0.63032598569946
"15";"P";5;11.5038340697925;2.50742391183874;1.12135406305597
"30";"C";4;7.83267314063025;0.851289399422136;0.425644699711068
"30";"Fe";5;3.72400141171135;0.833060960162987;0.372556187265137
"30";"P";5;11.6022074693513;3.95250473691486;1.76761385462631
"60";"C";5;8.83363054871738;1.2568328082885;0.562072719137009
"60";"Fe";5;4.75977905182624;1.14677492158684;0.512853335912033
"60";"P";5;14.3967360737376;1.7073866549854;0.763566524884665
"120";"C";5;8.02255058583074;1.007981237183;0.450782913277106
"120";"Fe";5;3.71357625001945;1.10536475323814;0.494334145634554
"120";"P";5;11.7139467017401;4.8700617621576;2.17795783096136
"15";"C";5;0.987065738426392;0.486037984836713;0.21736279474838
"15";"Fe";4;0.790553169354842;0.61846520583304;0.30923260291652
"15";"P";5;0.0351927265691056;0.078693328922083;0.0351927265691056
"30";"C";4;1.67567122440415;0.966535604779986;0.483267802389993
"30";"Fe";5;0.636905555104406;0.489935626211222;0.219105872961444
"30";"P";5;0;0;0
"60";"C";5;1.79860093824636;1.0293311369377;0.460330878709969
"60";"Fe";5;1.03400966517226;0.525065109365925;0.234816255431114
"60";"P";5;0.235535712471782;0.30718277473898;0.137376313166673
"120";"C";5;2.46089336961979;0.356796283360692;0.159564148742757
"120";"Fe";5;1.11388318940385;0.509709008595938;0.227948798392908
"120";"P";5;0.215402106721604;0.287975896007318;0.128786735870755
"15";"C";5;0.986169766653024;0.487647553311331;0.218082615653118
"15";"Fe";4;0.775754279268112;0.630086559264058;0.315043279632029
"15";"P";5;0.0104905978977023;0.0234576900238787;0.0104905978977023
"30";"C";4;1.67436350421937;0.967956172110444;0.483978086055222
"30";"Fe";5;0.63183266002123;0.496222018192644;0.221917232922178
"30";"P";5;0;0;0
"60";"C";5;1.79633883987691;1.03320179438266;0.462061889342876
"60";"Fe";5;1.02084422654468;0.541996732932119;0.242388307683803
"60";"P";5;0.126150544830943;0.240683418211307;0.107636896835498
"120";"C";5;2.46089336961979;0.356796283360692;0.159564148742757
"120";"Fe";5;1.10257309672053;0.526432848166216;0.235427926817697
"120";"P";5;0.127335482261595;0.245213765457757;0.109662929716447
