Tissue;Treatment;Concentration;Mg;P;S;K;Ca;Ti;Mn;Fe;Cu;Zn;As;Mo;Pb
S;P;500microM;8574.8;836.2;6332.4;38271.6;33938;1.13;122.51;875.17;12.56;70.04;0;10.35;0
S;C;0microM;5175.8;5281.2;7331.4;55613.6;32310;0;35.62;142.95;9.73;30.32;0.28;2.14;0
S;Fe;0microM;8501.8;4151.2;12667.4;43528.6;45278;0;67.16;69.9;9.05;91.8;0;3.61;0
S;Fe;500microM;11492.8;4751.2;12802.4;42469.6;59735;0.02;44.91;54.04;5.08;56.11;0;2.52;0
S;C;500microM;4184.8;2401.2;8990.4;30244.6;33252;0.1;24.75;277.47;8.75;26.93;0;3.12;0
S;C;0microM;5050.8;3399.2;15136.4;56040.6;31756;0.24;31.78;277.2;7.7;25.91;0.01;2.17;0
S;Fe;500microM;7431.8;4036.2;10468.4;48071.6;40434;0.46;55.54;76.3;7.15;89.69;0;3.93;0
S;Fe;500microM;7330.8;3934.2;11248.4;44133.6;41995;0.48;63.23;98.82;9.64;72.04;0;4.55;0
S;Fe;50microM;6559.8;4298.2;9996.4;44450.6;42564;0.48;48.51;61.67;7.29;67.22;0;3.34;0
S;Fe;50microM;6803.8;3906.2;13165.4;47441.6;39291;0.52;66.2;98.96;6.66;83.81;0;4.51;0
S;C;50microM;4641.8;2051.2;5495.4;33057.6;29846;0.79;25.05;348.24;4.84;24.54;0;2.2;0
S;Fe;50microM;6921.8;3176.2;11420.4;41824.6;44838;0.82;53.8;65.94;4.08;73.04;0;3.5;0
S;Fe;500microM;7493.8;4397.2;12854.4;47716.6;40697;1.49;64.1;73.04;7.87;87.05;0;4.24;0
S;Fe;500microM;6169.8;3930.2;11426.4;40739.6;40178;0.09;54.51;61.43;6.72;61.76;0;3.39;0.01
S;Fe;50microM;5468.8;5394.2;10397.4;44154.6;32071;1.2;61.65;62.43;8.19;99.46;0;2.64;0.01
S;C;50microM;6304.8;3653.2;9528.4;51430.6;35439;1;35.31;196.06;8.59;30.73;0;2.55;0.02
S;P;500microM;10035.8;867.2;7172.4;45581.6;34708;0.93;161.91;866.11;13.09;118.73;0;14.42;0.02
S;C;500microM;4710.8;3069.2;9841.4;45839.6;33284;0.67;28.12;255.93;7.95;31.97;0;2.5;0.05
S;C;0microM;8931.8;4677.2;15093.4;49523.6;40871;0.55;47.21;234.05;11.65;35.13;0.03;2.02;0.05
S;Fe;0microM;6111.8;3326.2;13682.4;52741.6;41217;0.59;39.95;84.71;5.11;73.33;0;4.23;0.08
S;P;0microM;9257.8;792.2;2030.4;47599.6;31186;1.23;191.53;738.17;13.77;111.3;0;11.61;0.08
S;C;500microM;7115.8;4397.2;12234.4;50603.6;42734;0.79;54.53;267.56;10.09;32.3;0;2.27;0.08
S;C;500microM;7328.8;3234.2;11372.4;37696.6;34412;1.15;39.51;217.1;8.44;44.66;0;1.7;0.1
S;Fe;50microM;7249.8;5122.2;13358.4;50392.6;41129;1.15;91.14;96.14;10.23;117.45;0;4.54;0.1
S;C;0microM;5760.8;3376.2;12091.4;37168.6;36162;0.01;36.36;325.65;8.37;25.43;0.1;2.21;0.12
S;C;0microM;8145.8;4118.2;12485.4;45464.6;39225;0.23;46.45;228.75;11.18;34.3;0;2.06;0.12
S;Fe;0microM;7460.8;5095.2;8855.4;38521.6;45258;0.36;54;80.36;8.85;111.19;0;4.82;0.13
S;Fe;0microM;8914.8;5034.2;10441.4;41429.6;45499;0.69;39.9;81.28;7.07;68.53;0;3.51;0.13
S;C;50microM;7250.8;3285.2;11012.4;27674.6;37206;0.27;43.36;562.63;10.29;39.26;0;2.26;0.14
S;C;0microM;7028.8;3644.2;13017.4;36354.6;38217;0.55;41.5;227.87;10.28;34.5;0.04;2.76;0.19
S;C;50microM;4123.8;4559.2;6458.4;59118.6;29921;2.2;32.21;148.24;8.83;31.98;0;2.35;0.2
S;C;50microM;6045.8;3392.2;8261.4;50595.6;35301;1.66;34.9;339.94;9.68;33.3;0;2.8;0.22
S;P;50microM;8262.8;701.2;6275.4;51358.6;35862;0.37;192.87;759.27;12.63;142.86;0;13.3;0.23
S;Fe;0microM;6730.8;4203.2;13269.4;38450.6;43715;0.56;54.11;108.22;6.29;73.12;0;4.63;0.24
S;C;500microM;5224.8;3384.2;11852.4;46784.6;32960;0.98;24.23;212.98;8.65;31.22;0;2.32;0.34
S;P;50microM;6932.8;796.2;5294.4;38119.6;27945;0.7;125.05;721.57;12.07;67.14;0;6.66;0.38
R;Fe;500microM;7933.8;4522.2;3947.4;55308.6;5455;0.53;18.7;140.24;12.7;81.71;0;3.97;0.43
S;P;0microM;12049.8;918.2;3287.4;47049.6;34009;0.31;209.46;770.42;14.83;110.22;0;14.84;0.45
R;Fe;50microM;9727.8;3808.2;3444.4;55033.6;7737;0.68;23.24;139.96;14.4;132.83;0;3.06;0.46
R;C;0microM;10532.8;3719.2;6155.4;35854.6;4637;0.42;140;1066.42;42.4;173.41;0.02;3.98;0.49
S;P;0microM;7234.8;725.2;6704.4;39930.6;32137;0.48;90.25;594.21;11.92;93.55;0;8.69;0.49
S;P;500microM;9960.8;753.2;4963.4;37193.6;32534;0.95;161.68;988.41;13.23;86.78;0;16.51;0.5
S;P;0microM;10368.8;824.2;4707.4;41300.6;34233;1.04;175.65;1174.46;12.64;104.17;0;12.8;0.52
R;C;50microM;7792.8;2956.2;4461.4;32445.6;4849;3.06;59.75;1530.38;19.5;105.62;0;2.02;0.53
S;P;50microM;8511.8;813.2;5229.4;47898.6;31024;0.62;120.15;838.67;9.84;70.11;0;8.76;0.54
S;P;50microM;10462.8;840.2;7949.4;43201.6;38163;0;172.66;815.99;14.29;84.61;0;11.68;0.68
R;C;50microM;6632.8;3370.2;5138.4;43422.6;6347;0.84;83.79;705.58;25.01;120.95;0.01;2.71;0.71
R;Fe;0microM;9390.8;5322.2;7033.4;54952.6;6638;3.15;32.42;135.45;21.09;153.17;0.08;2.64;0.72
R;C;0microM;8891.8;4294.2;5991.4;29734.6;5148;0.93;143.47;1638.75;42.45;184.11;0.13;3.29;0.75
S;P;50microM;9612.8;790.2;7388.4;37062.6;34471;0.4;130.93;892.26;12.38;89.25;0;12.62;0.83
R;C;50microM;7116.8;3938.2;6846.4;52618.6;5363;1.02;109.88;1020.56;46.4;180.84;0.3;2.42;0.93
R;C;0microM;8202.8;4113.2;7600.4;42048.6;4386;1.14;138.29;1191.75;46.88;155.31;0.27;3.91;1.02
R;Fe;500microM;7757.8;3928.2;6258.4;62925.6;7851;1.02;51.94;143.74;31.02;288.22;0.08;2.24;1.03
R;Fe;0microM;7759.8;4053.2;3186.4;57671.6;5933;0.39;30.01;226.13;29.49;165.14;0.01;2.02;1.05
R;Fe;500microM;7173.8;3868.2;4242.4;44395.6;5361;4.02;28.3;142.17;23.76;215.98;0.02;2.33;1.08
R;Fe;0microM;7329.8;4565.2;5535.4;66675.6;7123;1.83;26.45;221.72;16.03;159.55;0;4.31;1.13
R;Fe;0microM;6056.8;3971.2;4616.4;60358.6;8075;2.03;34.96;196.32;17.04;183.35;0;3.45;1.16
R;Fe;50microM;9243.8;4671.2;3399.4;59953.6;7619;0.91;25.05;134.04;28.81;153.66;0;1.84;1.17
R;C;0microM;7259.8;4245.2;6937.4;59927.6;4581;1.91;125.35;1251.67;44.09;216.98;0.3;2.75;1.17
R;Fe;0microM;8550.8;4735.2;5689.4;55087.6;5676;5.1;53.33;163.89;39.43;377.49;0.2;2.53;1.21
S;P;500microM;7847.8;876.2;5314.4;35354.6;26013;1.92;135.23;789.98;13.68;91.52;0.02;10.94;1.23
R;C;50microM;5956.8;4022.2;5008.4;60428.6;5960;1.29;133.46;1100.4;39.66;145.71;0.13;2.01;1.29
R;C;50microM;5778.8;3488.2;3252.4;47922.6;5140;0.86;103.47;1232.51;32.66;107.09;0.18;1.52;1.36
R;C;0microM;3850.8;3725.2;4937.4;52908.6;5800;1.73;121.67;1007.39;41.65;123.09;0.33;1.28;1.43
R;Fe;500microM;7337.8;3943.2;4645.4;57098.6;7475;1.22;33.16;228.4;33.41;183.7;0.05;2.4;1.6
R;P;0microM;10490.8;1468.2;5545.4;39857.6;7510;2.01;38.75;1407.2;33.53;324.51;0.19;21.44;1.64
R;P;0microM;15834.8;1789.2;3036.4;45861.6;8975;3.64;96.47;2398.16;68.89;392.13;0.34;15.67;1.75
R;Fe;50microM;7167.8;4270.2;2081.4;57297.6;9858;3.05;60.33;234.09;20.83;216.1;0.09;3.43;1.76
R;Fe;500microM;8474.8;4672.2;3201.4;54706.6;7001;1.53;26.27;162.68;38.12;197.34;0.01;2.74;1.84
