Time;Treatment;Species_Tissue;Value
7;C;50然_TR;0.274194525143287
7;C;50然_TR;0.150757644046654
7;C;50然_TR;0.282446591706058
7;C;50然_TR;0.133377032037272
7;C;50然_TR;0.225147830880158
7;P;50然_TR;0.373184244929005
7;P;50然_TR;0.380938495740825
7;P;50然_TR;0.320512199728897
7;P;50然_TR;0.508003784154017
7;P;50然_TR;0.557264543336879
7;Fe;50然_TR;0.268970161956567
7;Fe;50然_TR;0.133013274479428
7;Fe;50然_TR;0.134677111370178
7;Fe;50然_TR;0.119675100253009
7;Fe;50然_TR;0.204021122694704
10;C;50然_TR;0.540379527674225
10;C;50然_TR;0.475208375759394
10;C;50然_TR;0.796800107250273
10;C;50然_TR;0.368563581531193
10;C;50然_TR;0.699825961252221
10;P;50然_TR;0.388818074967560
10;P;50然_TR;0.364906796194145
10;P;50然_TR;0.479340243748326
10;P;50然_TR;0.326105479055657
10;P;50然_TR;0.411461448807924
10;Fe;50然_TR;0.314969976729613
10;Fe;50然_TR;0.205485331600156
10;Fe;50然_TR;0.178764962423856
10;Fe;50然_TR;0.197056048628989
10;Fe;50然_TR;0.298927063332325
14;C;50然_TR;0.131179267168174
14;C;50然_TR;0.171745667878906
14;C;50然_TR;0.108559346935044
14;C;50然_TR;0.102706415243372
14;C;50然_TR;0.052702749628683
14;P;50然_TR;0.135615330354759
14;P;50然_TR;0.253336535970085
14;P;50然_TR;0.132911567014045
14;P;50然_TR;0.124008213469571
14;P;50然_TR;0.111375887266076
14;Fe;50然_TR;0.159877556609356
14;Fe;50然_TR;0.100768775739628
14;Fe;50然_TR;0.103094258494945
14;Fe;50然_TR;0.078466574989333
14;Fe;50然_TR;0.094520615977202
17;C;50然_TR;0.318895167975700
17;C;50然_TR;0.230471117892819
17;C;50然_TR;0.268583142774906
17;C;50然_TR;0.355380347625657
17;C;50然_TR;0.387174871685583
17;P;50然_TR;0.377867948191891
17;P;50然_TR;0.375625311150198
17;P;50然_TR;0.327913114173994
17;P;50然_TR;0.373353514581376
17;P;50然_TR;0.501219260122023
17;Fe;50然_TR;0.378067693411075
17;Fe;50然_TR;0.165217455963652
17;Fe;50然_TR;0.140717334354875
17;Fe;50然_TR;0.088408564152901
17;Fe;50然_TR;0.079948232925428
7;C;50然_TS;0.071805240031853
7;C;50然_TS;0.060838953740350
7;C;50然_TS;0.123874769913787
7;C;50然_TS;0.014942445716702
7;C;50然_TS;0.013353003417493
7;P;50然_TS;0.044549881384221
7;P;50然_TS;0.095852207638760
7;P;50然_TS;0.004219373300863
7;P;50然_TS;0.012274279500468
7;P;50然_TS;0.016477052659066
7;Fe;50然_TS;0.040992752030459
7;Fe;50然_TS;0.013428617863289
7;Fe;50然_TS;0.017807684209085
7;Fe;50然_TS;0.002141659054351
7;Fe;50然_TS;0.019375533905864
10;C;50然_TS;-0.011995591031434
10;C;50然_TS;-0.012369692721427
10;C;50然_TS;0.015686643171713
10;C;50然_TS;0.010223691084534
10;C;50然_TS;0.011135198994897
10;P;50然_TS;0.007011373326397
10;P;50然_TS;0.059192275454561
10;P;50然_TS;0.089130299685227
10;P;50然_TS;-0.031553806668191
10;P;50然_TS;0.048333458177839
10;Fe;50然_TS;0.027227593845384
10;Fe;50然_TS;0.022042971458919
10;Fe;50然_TS;0.006902591374164
10;Fe;50然_TS;-0.004386312983026
10;Fe;50然_TS;-0.021047155843729
14;C;50然_TS;-0.025032274793938
14;C;50然_TS;-0.025793307230083
14;C;50然_TS;-0.052461542208775
14;C;50然_TS;-0.021400445307411
14;C;50然_TS;0.328810043168780
14;P;50然_TS;0.049799805475444
14;P;50然_TS;0.044320078274297
14;P;50然_TS;-0.078464258067883
14;P;50然_TS;-0.012567588049790
14;P;50然_TS;-0.003134818567468
14;Fe;50然_TS;0.047554788424390
14;Fe;50然_TS;-0.031994442911515
14;Fe;50然_TS;-0.014754992826293
14;Fe;50然_TS;-0.029904675803577
14;Fe;50然_TS;-0.019088974197376
17;C;50然_TS;0.071987583438788
17;C;50然_TS;0.038557306966781
17;C;50然_TS;0.091132757412806
17;C;50然_TS;-0.036778426167354
17;C;50然_TS;0.024770766714617
17;P;50然_TS;0.101355869514908
17;P;50然_TS;-0.048066663233988
17;P;50然_TS;0.047534578138254
17;P;50然_TS;-0.008801213568824
17;P;50然_TS;0.096583841613737
17;Fe;50然_TS;0.015367212643417
17;Fe;50然_TS;0.132928506575661
17;Fe;50然_TS;-0.006049208812103
17;Fe;50然_TS;0.000146442156043
17;Fe;50然_TS;-0.011510234029757
7;C;500然_TR;0.949090698851340
7;C;500然_TR;0.584864319634585
7;C;500然_TR;0.668292607269467
7;C;500然_TR;0.437359192348925
7;C;500然_TR;1.143886095986770
7;P;500然_TR;1.029810138781760
7;P;500然_TR;0.952618315725643
7;P;500然_TR;0.888100022579605
7;P;500然_TR;1.289697074175950
7;P;500然_TR;0.998942527079998
7;Fe;500然_TR;0.441801934367343
7;Fe;500然_TR;0.267095787998733
7;Fe;500然_TR;0.777383531708004
7;Fe;500然_TR;0.761076696790448
7;Fe;500然_TR;0.814723426206130
10;C;500然_TR;1.107106453157620
10;C;500然_TR;0.939646613728041
10;C;500然_TR;0.817782048335212
10;C;500然_TR;0.761006937707120
10;C;500然_TR;0.903090888157919
10;P;500然_TR;1.293816707680900
10;P;500然_TR;0.858586014060089
10;P;500然_TR;0.882261979460967
10;P;500然_TR;1.297844542870520
10;P;500然_TR;1.390631887261570
10;Fe;500然_TR;0.813106946907897
10;Fe;500然_TR;1.169137010556740
10;Fe;500然_TR;0.723009097646065
10;Fe;500然_TR;0.710343162236114
10;Fe;500然_TR;1.054686560659610
14;C;500然_TR;0.313940129299400
14;C;500然_TR;0.236809969981214
14;C;500然_TR;0.304575566322027
14;C;500然_TR;0.312634202989457
14;C;500然_TR;0.165584559540475
14;P;500然_TR;0.358711996657111
14;P;500然_TR;0.364168261782875
14;P;500然_TR;0.399012849064960
14;P;500然_TR;0.255644490852954
14;P;500然_TR;0.373332127763718
14;Fe;500然_TR;0.292792871035753
14;Fe;500然_TR;0.286310780714290
14;Fe;500然_TR;0.128203592105889
14;Fe;500然_TR;0.266487227268622
14;Fe;500然_TR;0.265359372719286
17;C;500然_TR;1.344137519994350
17;C;500然_TR;1.132245588412840
17;C;500然_TR;1.072573996049330
17;C;500然_TR;1.561607255568270
17;C;500然_TR;1.020939319554530
17;P;500然_TR;1.555816725365760
17;P;500然_TR;1.817883180944590
17;P;500然_TR;1.868275446677870
17;P;500然_TR;1.575544301495190
17;P;500然_TR;1.845440931771880
17;Fe;500然_TR;0.947136957276915
17;Fe;500然_TR;1.127545396494540
17;Fe;500然_TR;0.604306041368159
17;Fe;500然_TR;0.966471333663286
17;Fe;500然_TR;0.871218571012074
7;C;500然_TS;1.152265407086240
7;C;500然_TS;1.236659977366700
7;C;500然_TS;1.732412078836620
7;C;500然_TS;1.344333244139460
7;C;500然_TS;1.808268662421900
7;P;500然_TS;0.286380897981646
