Time;Treatment;Species_Tissue;Value
120;C;500microM_TR;0.127313402
120;C;500microM_TR;0.13726484
120;C;500microM_TR;0.145955414
120;C;500microM_TR;0.17516072
120;C;500microM_TR;0.292239506
120;Fe;500microM_TR;0.077863207
120;Fe;500microM_TR;0.112893276
120;Fe;500microM_TR;0.116290108
120;Fe;500microM_TR;0.163150474
120;Fe;500microM_TR;0.165035411
120;P;500microM_TR;0.177515293
120;P;500microM_TR;0.187161452
120;P;500microM_TR;0.189590439
120;P;500microM_TR;0.199002393
120;P;500microM_TR;0.205144427
15;C;500microM_TR;0.148020698
15;C;500microM_TR;0.141838859
15;C;500microM_TR;0.160104271
15;C;500microM_TR;0.134001502
15;C;500microM_TR;0.082698241
15;Fe;500microM_TR;0.067488354
15;Fe;500microM_TR;0.06372997
15;Fe;500microM_TR;0.070126328
15;Fe;500microM_TR;0.066980103
15;P;500microM_TR;0.162469172
15;P;500microM_TR;0.148695126
15;P;500microM_TR;0.122670793
15;P;500microM_TR;0.193478608
15;P;500microM_TR;0.129012348
30;C;500microM_TR;0.223991847
30;C;500microM_TR;0.180691172
30;C;500microM_TR;0.180011624
30;C;500microM_TR;0.147410491
30;C;500microM_TR;0.131885403
30;Fe;500microM_TR;0.094584553
30;Fe;500microM_TR;0.162334123
30;Fe;500microM_TR;0.072981694
30;Fe;500microM_TR;0.087010892
30;Fe;500microM_TR;0.092408809
30;P;500microM_TR;0.145185267
30;P;500microM_TR;0.17397653
30;P;500microM_TR;0.206028108
30;P;500microM_TR;0.121663465
30;P;500microM_TR;0.164163249
60;C;500microM_TR;0.208081038
60;C;500microM_TR;0.21399805
60;C;500microM_TR;0.246227239
60;C;500microM_TR;0.251891748
60;C;500microM_TR;0.229884883
60;Fe;500microM_TR;0.093835978
60;Fe;500microM_TR;0.080326302
60;Fe;500microM_TR;0.09935825
60;Fe;500microM_TR;0.114241096
60;Fe;500microM_TR;0.147633897
60;P;500microM_TR;0.262286639
60;P;500microM_TR;0.219411912
60;P;500microM_TR;0.205410801
60;P;500microM_TR;0.221196003
60;P;500microM_TR;0.243361521
