Treatment;Replicate;A;B;C;D;E;F;G;H;I;L
C;1;338079;60040;18038;7560;1869;0;0;0;0;0
C;2;505530;116726;28478;9313;12219;5815;3486;953;0;0
C;3;380672;75216;20979;11264;16439;4511;0;0;0;0
C;4;482103;101159;31876;12875;10895;9340;2106;0;0;0
C;5;609875;150360;35082;13891;3124;15454;5655;5440;1707;7941
C;6;476373;150586;54852;10764;13597;9836;1267;0;0;0
Fe;1;293608;83281;21685;12401;8693;8666;1047;0;0;0
Fe;2;461446;137262;35373;16589;8446;7577;17218;8081;2645;913
Fe;3;253180;79085;28772;18596;17292;1046;2382;0;0;0
Fe;4;363860;137967;58981;43474;16950;15222;5602;579;1648;0
Fe;5;459612;183128;57230;15214;9237;13812;2562;3105;359;0
P;1;205390;46797;12990;5693;2506;2585;2445;0;0;0
P;2;141646;23294;4524;1936;4963;1322;0;0;0;0
P;3;179329;26928;9838;3204;3395;0;819;398;1467;0
P;4;241536;45330;7826;2146;726;1654;424;0;0;0
P;5;185820;32724;8694;5946;4493;0;0;0;0;0
