Treatment;Value
C;0.185152201
C;0.117127703
C;0.106222881
C;0.0770268
C;0.115866133
C;0.069344691
C;0.080312927
C;0.033279445
C;0.150062575
C;0.094671109
C;0.07067236
C;0.076838163
C;0.091540725
C;0.064365672
C;0.224579183
-P;0.126100894
-P;0.179411189
-P;0.083126303
-P;0.168788158
-P;0.188142533
-P;0.111723595
-P;0.103946151
-P;0.109258149
-P;0.190685
-P;0.11476771
-P;0.351449315
-P;0.085988361
-P;0.074169198
-P;0.099231294
-P;0.211872222
-Fe;0.080009561
-Fe;0.062819832
-Fe;0.056809964
-Fe;0.057563347
-Fe;0.055397316
-Fe;0.069821544
-Fe;0.033907892
-Fe;0.05169423
-Fe;0.207975394
-Fe;0.075868336
-Fe;0.075240483
-Fe;0.070207701
-Fe;0.029247105
-Fe;0.068555166
-Fe;0.072562597
