Tissue;Treatment;Element;N;Concentration
1;R;C;Mg;14;6964.014 +/- 458.48
2;R;C;P;14;3833.2 +/- 110.995
3;R;C;S;14;6057.614 +/- 395.834
4;R;C;K;14;47288.957 +/- 2838.831
5;R;C;Ca;14;5007.857 +/- 349.881
6;R;C;Ti;14;1.204 +/- 0.199
7;R;C;Mn;14;111.35 +/- 8.043
8;R;C;Fe;14;1052.732 +/- 81.157
9;R;C;Cu;14;37.339 +/- 2.103
10;R;C;Zn;14;147.357 +/- 9.093
11;R;C;As;14;0.177 +/- 0.034
12;R;C;Mo;14;2.577 +/- 0.223
13;R;C;Pb;14;1.349 +/- 0.192
14;R;Fe;Mg;15;7859.333 +/- 301.927
15;R;Fe;P;15;4412.133 +/- 178.312
16;R;Fe;S;15;4303.133 +/- 348.64
17;R;Fe;K;15;56865.467 +/- 1256.796
18;R;Fe;Ca;15;7356.933 +/- 435.636
19;R;Fe;Ti;15;2.015 +/- 0.351
20;R;Fe;Mn;15;35.735 +/- 3.275
21;R;Fe;Fe;15;184.885 +/- 12.153
22;R;Fe;Cu;15;28.228 +/- 3.03
23;R;Fe;Zn;15;220.933 +/- 26.754
24;R;Fe;As;15;0.048 +/- 0.017
25;R;Fe;Mo;15;2.79 +/- 0.184
26;R;Fe;Pb;15;1.408 +/- 0.221
27;R;P;Mg;5;14486.6 +/- 1004.669
28;R;P;P;5;1777.2 +/- 85.132
29;R;P;S;5;4342.4 +/- 730.432
30;R;P;K;5;46157.6 +/- 1751.437
31;R;P;Ca;5;9062.4 +/- 462.33
32;R;P;Ti;5;2.87 +/- 0.288
33;R;P;Mn;5;83.388 +/- 15.234
34;R;P;Fe;5;2494.562 +/- 407.112
35;R;P;Cu;5;63.52 +/- 9.926
36;R;P;Zn;5;439.22 +/- 45.467
37;R;P;As;5;0.454 +/- 0.093
38;R;P;Mo;5;22.6 +/- 3.414
39;R;P;Pb;5;2.264 +/- 0.302
40;S;C;Mg;16;6064.112 +/- 361.842
41;S;C;P;16;3620.2 +/- 207.564
42;S;C;S;16;10637.65 +/- 710.204
43;S;C;K;16;44575.725 +/- 2423.458
44;S;C;Ca;16;35181 +/- 933.377
45;S;C;Ti;16;0.699 +/- 0.152
46;S;C;Mn;16;36.306 +/- 2.193
47;S;C;Fe;16;266.414 +/- 24.757
48;S;C;Cu;16;9.064 +/- 0.4
49;S;C;Zn;16;32.03 +/- 1.295
50;S;C;As;16;0.029 +/- 0.018
51;S;C;Mo;16;2.339 +/- 0.086
52;S;C;Pb;16;0.102 +/- 0.025
53;S;Fe;Mg;15;7376.2 +/- 371.177
54;S;Fe;P;15;4317.067 +/- 168.908
55;S;Fe;S;15;11736.933 +/- 383.608
56;S;Fe;K;15;44404.467 +/- 1074.931
57;S;Fe;Ca;15;42926.6 +/- 1482.169
58;S;Fe;Ti;15;0.594 +/- 0.111
59;S;Fe;Mn;15;57.247 +/- 3.31
60;S;Fe;Fe;15;78.216 +/- 4.238
61;S;Fe;Cu;15;7.285 +/- 0.45
62;S;Fe;Zn;15;81.707 +/- 4.582
63;S;Fe;As;15;0 +/- 0
64;S;Fe;Mo;15;3.864 +/- 0.186
65;S;Fe;Pb;15;0.047 +/- 0.019
66;S;P;Mg;13;9162.569 +/- 401.028
67;S;P;P;13;810.277 +/- 16.856
68;S;P;S;13;5588.4 +/- 459.971
69;S;P;K;13;42301.754 +/- 1427.05
70;S;P;Ca;13;32786.385 +/- 896.153
71;S;P;Ti;13;0.775 +/- 0.139
72;S;P;Mn;13;153.068 +/- 9.756
73;S;P;Fe;13;832.668 +/- 38.984
74;S;P;Cu;13;12.841 +/- 0.346
75;S;P;Zn;13;95.406 +/- 6.031
76;S;P;As;13;0.002 +/- 0.002
77;S;P;Mo;13;11.783 +/- 0.761
78;S;P;Pb;13;0.458 +/- 0.095
