Treatment;Time;Species_Tissue;N;mean;sd;se
1;C;7;500microM_TR;5;0.149325507;0.0474048554520123;0.0212000958508502
2;C;7;500microM_TS;5;0.1875449556;0.0232354898168119;0.0103912269441791
3;C;7;50microM_TR;5;0.0340700912;0.0107388112383169;0.00480254238528306
4;C;7;50microM_TS;5;0.0070630342;0.00561792749872439;0.00251241355596262
5;C;10;500microM_TR;5;0.1757727924;0.0291604949330044;0.0130409697855472
6;C;10;500microM_TS;5;0.0889006826;0.0178752825788194;0.00799406939265159
7;C;10;50microM_TR;5;0.0852630934;0.026973169248013;0.0120627680014328
8;C;10;50microM_TS;5;0.0003166902;0.00180285044766994;0.000806259230851182
9;C;14;500microM_TR;5;0.1755867764;0.0676109236186636;0.0302365242465756
10;C;14;500microM_TS;5;0.0299220292;0.0253943702068341;0.0113567076056553
11;C;14;50microM_TR;5;0.0508677706;0.0155034564749457;0.00693335651283756
12;C;14;50microM_TS;5;0.0029529342;0.0116898136059705;0.00522784357345041
13;C;17;500microM_TR;5;0.1991708096;0.0359536051438987;0.0160789410275887
14;C;17;500microM_TS;5;0.0405621364;0.0237206691649285;0.0106082057449126
15;C;17;50microM_TR;5;0.0504765778;0.00906449269617532;0.00405376437003967
16;C;17;50microM_TS;5;0.005729468;0.00743851780356594;0.00332660629212318
17;Fe;7;500microM_TR;5;0.1165446584;0.0456301431879949;0.0204064203982811
18;Fe;7;500microM_TS;5;0.1317078468;0.028824863655057;0.0128908709149741
19;Fe;7;50microM_TR;5;0.0259967742;0.010190435453747;0.00455730127898045
20;Fe;7;50microM_TS;5;0.0025009382;0.00187586920985598;0.000838914214027358
21;Fe;10;500microM_TR;5;0.155200399;0.0294237429876798;0.0131586978945869
22;Fe;10;500microM_TS;5;0.0332705646;0.0162953116304143;0.00728748490402987
23;Fe;10;50microM_TR;5;0.0389410458;0.0109146271479507;0.00488116965037649
24;Fe;10;50microM_TS;5;0.0008041724;0.00275057614953873;0.00123009504953164
25;Fe;14;500microM_TR;5;0.1270464952;0.0370191312915841;0.0165554588071943
26;Fe;14;500microM_TS;5;0.0373293218;0.0170173620973642;0.00761039568948696
27;Fe;14;50microM_TR;5;0.0220936548;0.0209516365153113;0.00936985669762057
28;Fe;14;50microM_TS;5;-0.00874598;0.00458445764622987;0.00205023178738773
29;Fe;17;500microM_TR;5;0.1421129088;0.0318050622705503;0.0142236562531128
30;Fe;17;500microM_TS;5;0.0580416072;0.0285002636418442;0.0127457053759659
31;Fe;17;50microM_TR;5;0.0274228592;0.0204084851461345;0.00912695202091028
32;Fe;17;50microM_TS;5;0.00292267;0.00681203142842673;0.00304643306776543
33;P;7;500microM_TR;5;0.1890575538;0.0212365515356317;0.00949727456827
34;P;7;500microM_TS;5;0.0627052562;0.0250405112435618;0.0111984570663904
35;P;7;50microM_TR;5;0.063544501;0.0136108305857759;0.00608694848400566
36;P;7;50microM_TS;5;0.0050614896;0.00543078241352784;0.00242871972953173
37;P;10;500microM_TR;5;0.1958986788;0.0447815736035586;0.0200269285433934
38;P;10;500microM_TS;5;0.0157281224;0.00540836572143723;0.00241869468006267
39;P;10;50microM_TR;5;0.062445799;0.0108451895949637;0.00485011623264243
40;P;10;50microM_TS;5;0.0050185282;0.00696483054580646;0.00311476691043804
41;P;14;500microM_TR;5;0.1916828008;0.010727658878563;0.00479755489837922
42;P;14;500microM_TS;5;0.0188329888;0.00646366072004249;0.00289063695070205
43;P;14;50microM_TR;5;0.05672324;0.0131809060632073;0.00589468039247415
44;P;14;50microM_TS;5;0.0031207756;0.00777270936760476;0.00347606130306273
45;P;17;500microM_TR;5;0.2590235526;0.0209995375059024;0.00939127867185085
46;P;17;500microM_TS;5;0.0236563392;0.0128019597163067;0.00572521043417516
47;P;17;50microM_TR;5;0.057267452;0.0097831097242152;0.00437513967493688
48;P;17;50microM_TS;5;0.0050734474;0.00954803891118131;0.0042700128114429
